,Class
601,1
363,0
367,0
251,1
545,0
433,0
664,0
634,0
555,1
378,0
508,0
24,1
450,0
566,1
225,1
322,0
593,1
340,0
8,1
118,1
153,1
373,0
81,1
244,1
636,0
143,1
220,1
631,0
30,1
89,1
94,1
488,0
595,1
0,1
497,0
412,0
590,1
64,1
525,0
216,1
643,0
278,0
245,1
17,1
448,0
144,1
523,0
277,0
194,1
219,1
327,0
612,1
111,1
2,1
78,1
532,0
565,1
106,1
205,1
206,1
254,1
264,0
279,0
290,0
292,0
294,0
295,0
326,0
335,0
338,0
350,0
359,0
365,0
372,0
375,0
376,0
391,0
396,0
397,0
408,0
413,0
418,0
453,0
454,0
464,0
475,0
513,0
517,0
527,0
530,0
546,0
554,1
558,1
569,1
596,1
615,0
616,0
639,0
642,0
645,0
650,0
658,0
668,0
675,0
682,0
683,0
272,0
597,1
172,1
403,0
646,0
237,1
281,0
667,0
598,1
618,0
62,1
405,0
436,0
65,1
10,1
441,0
677,0
361,0
362,0
575,1
82,1
168,1
198,1
551,1
186,1
210,1
256,1
49,1
243,1
352,0
175,1
581,1
355,0
470,0
673,0
26,1
297,0
401,0
190,1
534,0
351,0
559,1
366,0
195,1
653,0
599,1
171,1
560,1
458,0
59,1
471,0
387,0
547,0
113,1
382,0
19,1
39,1
274,0
98,1
613,1
331,0
142,1
72,1
541,0
37,1
343,0
14,1
201,1
307,0
439,0
623,0
107,1
537,0
273,0
609,1
635,0
117,1
392,0
369,0
430,0
484,0
399,0
563,1
669,0
101,1
137,1
229,1
99,1
236,1
589,1
512,0
60,1
680,0
432,0
202,1
12,1
324,0
147,1
583,1
648,0
91,1
480,0
377,0
164,1
317,0
625,0
462,0
610,1
103,1
247,1
40,1
124,1
20,1
154,1
330,0
267,0
300,0
482,0
467,0
383,0
224,1
275,0
308,0
173,1
282,0
285,0
356,0
390,0
196,1
503,0
221,1
594,1
502,0
548,0
203,1
261,1
477,0
54,1
42,1
255,1
15,1
489,0
9,1
66,1
422,0
90,1
257,1
516,0
258,1
600,1
353,0
80,1
185,1
417,0
105,1
311,0
163,1
676,0
128,1
69,1
233,1
414,0
468,0
318,0
52,1
75,1
169,1
342,0
628,0
259,1
305,0
23,1
35,1
449,0
562,1
234,1
457,0
500,0
459,0
428,0
126,1
301,0
660,0
490,0
161,1
152,1
21,1
31,1
43,1
73,1
84,1
92,1
114,1
125,1
146,1
157,1
159,1
166,1
191,1
208,1
235,1
240,1
246,1
252,1
262,1
302,0
309,0
310,0
325,0
333,0
341,0
346,0
384,0
402,0
406,0
409,0
440,0
444,0
447,0
474,0
478,0
483,0
491,0
496,0
499,0
501,0
505,0
536,0
538,0
564,1
579,1
587,1
608,1
629,0
655,0
659,0
671,0
678,0
76,1
592,1
607,1
487,0
133,1
104,1
150,1
395,0
665,0
389,0
657,0
222,1
25,1
654,0
167,1
347,0
178,1
183,1
45,1
5,1
349,0
218,1
93,1
344,0
452,0
465,0
495,0
511,0
306,0
469,0
632,0
472,0
134,1
135,1
476,0
16,1
296,0
299,0
316,0
313,0
358,0
182,1
18,1
620,0
424,0
557,1
288,0
321,0
70,1
22,1
170,1
230,1
514,0
651,0
29,1
540,0
420,0
437,0
567,1
509,0
51,1
521,0
415,0
85,1
263,1
57,1
110,1
212,1
394,0
398,0
504,0
582,1
314,0
381,0
33,1
507,0
136,1
280,0
283,0
339,0
385,0
411,0
423,0
443,0
446,0
455,0
535,0
644,0
228,1
116,1
148,1
176,1
586,1
479,0
393,0
460,0
584,1
127,1
123,1
328,0
3,1
602,1
438,0
622,0
38,1
180,1
7,1
46,1
174,1
332,0
429,0
239,1
193,1
241,1
100,1
284,0
120,1
434,0
662,0
386,0
518,0
630,0
266,0
249,1
588,1
348,0
515,0
451,0
36,1
63,1
96,1
217,1
88,1
32,1
578,1
337,0
74,1
556,1
95,1
549,1
132,1
580,1
213,1
520,0
561,1
162,1
442,0
68,1
86,1
336,0
298,0
641,0
304,0
320,0
522,0
576,1
494,0
370,0
445,0
528,0
83,1
550,1
572,1
498,0
115,1
87,1
109,1
189,1
485,0
138,1
160,1
207,1
253,1
188,1
526,0
345,0
165,1
315,0
605,1
604,1
13,1
640,0
108,1
672,0
215,1
4,1
179,1
122,1
199,1
573,1
34,1
270,0
271,0
319,0
44,1
204,1
492,0
544,0
329,0
529,0
151,1
