,Class
276,1
866,0
556,0
601,0
253,1
441,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
898,0
899,0
313,1
720,0
657,0
613,0
971,0
151,1
166,1
476,1
383,1
542,0
757,0
268,1
621,0
357,1
415,1
690,0
801,0
824,0
189,1
561,0
935,0
672,0
72,0
911,0
920,0
624,0
74,0
417,1
380,1
630,0
42,1
978,0
930,0
647,0
867,0
282,1
869,0
474,1
241,1
999,0
91,1
143,1
190,1
302,1
360,1
412,1
414,1
416,1
419,1
758,0
839,0
868,0
870,0
871,0
962,0
934,0
183,1
47,1
400,1
489,1
608,0
172,1
262,1
883,0
40,1
248,1
602,0
696,0
76,0
806,0
889,0
498,1
967,0
841,0
977,0
398,1
371,1
520,0
546,0
178,1
845,0
825,0
593,0
707,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
744,0
904,0
752,0
848,0
7,1
337,1
13,1
373,1
408,1
409,1
51,1
774,0
735,0
797,0
540,0
50,1
892,0
260,1
725,0
791,0
271,1
361,1
814,0
406,1
615,0
153,1
470,1
997,0
937,0
202,1
775,0
295,1
132,1
619,0
185,1
846,0
171,1
547,0
929,0
297,1
270,1
444,1
677,0
751,0
682,0
616,0
207,1
187,1
571,0
285,1
698,0
924,0
980,0
769,0
877,0
150,1
118,0
135,1
283,1
351,1
478,1
634,0
683,0
722,0
732,0
743,0
780,0
788,0
918,0
611,0
764,0
567,0
569,0
570,0
515,1
340,1
343,1
674,0
878,0
22,1
903,0
456,1
381,1
378,1
796,0
275,1
424,1
998,0
372,1
610,0
16,1
448,1
836,0
633,0
586,0
834,0
334,1
721,0
369,1
983,0
695,0
637,0
822,0
54,1
179,1
159,1
181,1
186,1
196,1
264,1
309,1
324,1
479,1
484,1
543,0
755,0
808,0
844,0
887,0
944,0
308,1
146,1
810,0
323,1
399,1
573,0
475,1
10,1
395,1
261,1
299,1
807,0
746,0
568,0
580,0
581,0
582,0
974,0
541,0
646,0
862,0
17,1
823,0
639,0
781,0
782,0
296,1
544,0
785,0
355,1
430,1
886,0
548,0
572,0
784,0
798,0
819,0
496,1
772,0
35,1
349,1
584,0
375,1
559,0
174,1
799,0
120,1
208,1
739,0
818,0
452,1
2,1
3,1
4,1
5,1
8,1
11,1
14,1
15,1
18,1
19,1
30,1
37,1
38,1
43,1
45,1
53,1
56,1
58,1
60,1
61,1
62,1
65,1
66,0
70,0
73,0
78,0
79,1
80,1
81,1
86,1
88,1
89,1
92,1
95,1
97,0
98,0
99,0
100,0
101,0
102,0
104,0
106,0
107,0
113,0
115,0
116,0
121,1
125,1
126,1
128,1
133,1
138,1
140,1
141,1
142,1
144,1
148,1
152,1
160,1
164,1
169,1
170,1
176,1
177,1
182,1
197,1
198,1
206,1
210,1
211,1
212,1
215,1
226,1
234,1
235,1
238,1
249,1
251,1
255,1
257,1
259,1
263,1
266,1
269,1
272,1
277,1
278,1
280,1
281,1
298,1
300,1
306,1
311,1
312,1
315,1
316,1
317,1
328,1
331,1
332,1
336,1
338,1
339,1
342,1
344,1
346,1
348,1
353,1
362,1
366,1
367,1
376,1
377,1
379,1
382,1
393,1
394,1
404,1
410,1
413,1
418,1
423,1
426,1
431,1
436,1
439,1
455,1
458,1
464,1
467,1
469,1
471,1
472,1
480,1
481,1
486,1
487,1
490,1
491,1
492,1
494,1
497,1
500,1
502,1
510,1
519,0
523,0
524,0
526,0
527,0
528,0
529,0
530,0
532,0
533,0
534,0
536,0
552,0
589,0
591,0
605,0
618,0
620,0
623,0
661,0
662,0
685,0
689,0
691,0
693,0
699,0
703,0
710,0
726,0
731,0
734,0
754,0
756,0
760,0
763,0
766,0
783,0
786,0
787,0
800,0
802,0
803,0
813,0
832,0
835,0
850,0
858,0
880,0
884,0
890,0
905,0
907,0
909,0
910,0
921,0
928,0
946,0
947,0
951,0
987,0
988,0
1,1
6,1
12,1
20,1
21,1
23,1
24,1
25,1
26,1
27,1
28,1
31,1
32,1
33,1
39,1
41,1
44,1
48,1
57,1
59,1
63,1
64,1
67,0
71,0
77,0
87,1
93,1
94,1
105,0
108,0
109,0
110,0
111,0
112,0
114,0
117,0
119,0
122,1
123,1
124,1
127,1
129,1
130,1
131,1
134,1
136,1
139,1
145,1
147,1
149,1
154,1
155,1
156,1
157,1
158,1
161,1
162,1
163,1
165,1
175,1
191,1
193,1
194,1
203,1
214,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
236,1
239,1
243,1
250,1
254,1
267,1
273,1
279,1
284,1
286,1
287,1
290,1
291,1
292,1
293,1
294,1
301,1
303,1
304,1
305,1
307,1
318,1
319,1
320,1
321,1
322,1
325,1
333,1
363,1
365,1
370,1
374,1
401,1
402,1
403,1
405,1
407,1
411,1
420,1
421,1
425,1
427,1
428,1
429,1
432,1
433,1
434,1
435,1
437,1
438,1
440,1
443,1
447,1
449,1
450,1
451,1
454,1
459,1
460,1
461,1
462,1
463,1
466,1
468,1
477,1
482,1
483,1
488,1
493,1
495,1
499,1
501,1
503,1
504,1
505,1
506,1
507,1
517,0
521,0
522,0
525,0
535,0
538,0
539,0
549,0
553,0
555,0
558,0
574,0
583,0
587,0
588,0
592,0
594,0
595,0
596,0
598,0
599,0
600,0
604,0
606,0
607,0
612,0
614,0
627,0
628,0
629,0
631,0
638,0
640,0
642,0
643,0
644,0
649,0
650,0
652,0
653,0
654,0
659,0
665,0
666,0
667,0
668,0
669,0
673,0
686,0
687,0
688,0
692,0
694,0
697,0
705,0
706,0
708,0
711,0
723,0
727,0
728,0
730,0
736,0
737,0
741,0
742,0
747,0
748,0
750,0
761,0
762,0
767,0
768,0
770,0
771,0
773,0
776,0
794,0
809,0
815,0
821,0
827,0
828,0
829,0
837,0
838,0
843,0
849,0
851,0
853,0
854,0
856,0
857,0
859,0
860,0
863,0
864,0
865,0
873,0
874,0
875,0
876,0
879,0
881,0
882,0
888,0
891,0
893,0
894,0
895,0
896,0
900,0
901,0
908,0
915,0
916,0
917,0
922,0
923,0
926,0
927,0
932,0
938,0
939,0
940,0
941,0
942,0
945,0
949,0
950,0
952,0
953,0
955,0
956,0
958,0
959,0
960,0
961,0
966,0
968,0
969,0
972,0
973,0
975,0
981,0
982,0
